iter	RMSE
223	0.2884680371
224	0.2884303435
225	0.2883959591
226	0.2883506629
227	0.2883234518
228	0.2882821319
229	0.2881865029
230	0.2881423092
231	0.2881009637
232	0.2879966185
233	0.287931498
234	0.2878632885
235	0.2878135231
236	0.2876839946
237	0.2876563559
238	0.2875796832
239	0.2875500542
240	0.2875284571
241	0.2874877148
242	0.2874332811
243	0.2873575828
244	0.2873049555
245	0.2872610811
246	0.2872256413
247	0.2872005706
248	0.2871019372
249	0.2870521005
250	0.2870218015
251	0.2869918096
252	0.2869293994
253	0.2868880518
254	0.2868489074
255	0.2867900766
256	0.2866968896
257	0.2866307785
258	0.2865528224
259	0.2865061508
260	0.2864495156
261	0.2864058773
262	0.2863655964
263	0.286322794
264	0.2862819377
265	0.2862388621
266	0.2861903243
267	0.2861609674
268	0.2861381062
269	0.2860782905
270	0.2859976012
271	0.2859664073
272	0.2858962677
273	0.2858401482
274	0.2857768987
275	0.2856968463
276	0.2856606344
277	0.2856067002
278	0.2855661337
279	0.285504659
280	0.2854631955
281	0.2854085026
282	0.2853677411
283	0.2853273258
284	0.2852965628
285	0.2852711921
286	0.2852326777
287	0.285166944
288	0.2850828682
289	0.2849982353
290	0.2849301654
291	0.2848452699
292	0.2848006531
293	0.284761661
294	0.284656707
295	0.2846436538
296	0.2845907498
297	0.2845386951
298	0.2845072732
299	0.2844342443
300	0.2844087774
301	0.2843765167
302	0.2843268676
303	0.2842856631
304	0.2842735719
305	0.2842235823
306	0.284197886
307	0.2841415057
308	0.2840836231
309	0.2840140997
310	0.2839719082
311	0.2839298054
312	0.2838905052
313	0.2838462653
314	0.2837993792
315	0.283754125
316	0.283696264
317	0.2836756186
318	0.2836246505
319	0.2835528921
320	0.2835418404
321	0.283500435
322	0.283464653
323	0.2833993302
324	0.2833252115
325	0.2832918954
326	0.2832656455
327	0.28319915
328	0.2831752024
329	0.2831546734
330	0.2831042384
331	0.2830470409
332	0.282983454
333	0.2829433306
334	0.2829043008
335	0.2828499127
336	0.2827909999
337	0.2827253418
338	0.28266957
339	0.2826291294
340	0.2825565094
341	0.2825124981
342	0.2824716752
343	0.2824234887
344	0.2823458322
345	0.2823020182
346	0.2822528743
347	0.2821964322
348	0.2821478604
349	0.282097457
350	0.2820139494
351	0.2819736893
352	0.2819070973
353	0.281861859
354	0.2818520629
355	0.2818104424
356	0.2817835828
357	0.2817542808
358	0.2817343114
359	0.2817014168
360	0.2816627532
361	0.2816036451
362	0.2815533223
363	0.2815234737
364	0.2814746876
365	0.2814380136
366	0.2814098979
367	0.2813336925
368	0.2812799803
369	0.2812159233
370	0.2811360721
371	0.2811005031
372	0.2810345653
373	0.2809896718
374	0.2809684977
375	0.2809278171
376	0.2809060798
377	0.2808547315
378	0.2808071015
379	0.2807644893
380	0.2807431609
381	0.2806892612
382	0.2806551114
383	0.2805985966
384	0.2805357389
385	0.2804842955
386	0.2804348942
387	0.2803769144
388	0.2803331467
389	0.2802870643
390	0.2802711028
391	0.2802122404
392	0.280171926
393	0.2801358469
394	0.2800710105
395	0.2800378047
396	0.2799958825
397	0.2799518162
398	0.2799187264
399	0.2798730826
400	0.279826335
401	0.2797839956
402	0.2797370381
403	0.2796717172
404	0.2796308217
405	0.279611466
406	0.2795804973
407	0.279544527
408	0.2795018885
409	0.2794476161
410	0.2793994268
411	0.2793603132
412	0.2793520505
413	0.2793220113
414	0.2792510703
415	0.2792259811
416	0.2791826413
417	0.2791440285
418	0.2791126858
419	0.2790449228
420	0.2789992604
421	0.2789237524
422	0.2788903277
423	0.2788497398
424	0.278810744
425	0.2787814162
426	0.2787450106
427	0.2787156793
428	0.2786841937
429	0.2786430346
430	0.2786052103
431	0.2785756509
432	0.2785149305
433	0.2784854627
434	0.2784449331
435	0.2784082588
436	0.2783745207
437	0.2783559037
438	0.2783208203
439	0.2782634801
440	0.2782293157
441	0.2781794278
442	0.2781435623
443	0.2781115808
444	0.2780803541
445	0.2780643566
446	0.278026906
447	0.2779571987
448	0.2779392965
449	0.2778822239
450	0.2778381784
451	0.2778031736
452	0.2777713384
453	0.2777167992
454	0.2776848376
455	0.2776439797
456	0.2776047882
457	0.277556569
458	0.2775336618
459	0.277491813
460	0.277437327
461	0.2773833992
462	0.2773582214
463	0.2773276622
464	0.2773024556
465	0.2772660531
466	0.2772149733
467	0.2771705702
468	0.2771257655
469	0.2770935992
470	0.2770688528
471	0.2770381296
472	0.2769915391
473	0.2769664624
474	0.2768894336
475	0.2768378749
476	0.2768078224
477	0.276776564
478	0.2767393486
479	0.2767106581
480	0.276683441
481	0.2766504558
482	0.2766152088
483	0.2765779923
484	0.2765326761
485	0.2764986353
486	0.2764647218
487	0.2764356265
488	0.2764115809
489	0.2763753779
490	0.2763055598
491	0.2762476636
492	0.2761949513
493	0.2761680202
494	0.2761331703
495	0.2761160476
496	0.2760614833
497	0.2760379706
498	0.275994865
499	0.2759702409
